vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792535450,Canada (excluding territories),"",Women+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Fair or poor,1.3.2.14.4,31.1
v1792535457,Canada (excluding territories),"",Women+,18 to 44 years,Experienced discrimination in a health care setting in the past 12 months,1.3.2.15.4,13.4
v1792535464,Canada (excluding territories),"",Women+,18 to 44 years,Had unmet health care needs in the past 12 months,1.3.2.16.4,30.9
v1792535471,Canada (excluding territories),"",Women+,18 to 44 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.3.2.17.4,19.7
v1792535478,Canada (excluding territories),"",Women+,18 to 44 years,Has insurance that covers all or part of the cost of prescription medications,1.3.2.18.4,82.5
v1792535485,Canada (excluding territories),"",Women+,45 to 64 years,Has at least one chronic condition,1.3.3.1.4,57.1
v1792535492,Canada (excluding territories),"",Women+,45 to 64 years,Perceived health - Very good or excellent,1.3.3.2.4,49.9
v1792535499,Canada (excluding territories),"",Women+,45 to 64 years,Perceived health - Fair or poor,1.3.3.3.4,15.4
v1792535506,Canada (excluding territories),"",Women+,45 to 64 years,Perceived mental health - Very good or excellent,1.3.3.4.4,54.6
v1792535513,Canada (excluding territories),"",Women+,45 to 64 years,Perceived mental health - Fair or poor,1.3.3.5.4,12.7
v1792535520,Canada (excluding territories),"",Women+,45 to 64 years,Has a regular health care provider,1.3.3.6.4,86.5
v1792535527,Canada (excluding territories),"",Women+,45 to 64 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.3.3.7.4,82.5
v1792535534,Canada (excluding territories),"",Women+,45 to 64 years,Quality of consultation in the past 12 months - Very good or excellent,1.3.3.8.4,71.0
v1792535541,Canada (excluding territories),"",Women+,45 to 64 years,Quality of consultation in the past 12 months - Fair or poor,1.3.3.9.4,9.4
v1792535548,Canada (excluding territories),"",Women+,45 to 64 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.3.3.10.4,41.2
